id	ko
cds-WP_004148971.1	K24163
cds-WP_004151466.1	K19745
cds-WP_032429633.1	
cds-WP_004148975.1	K01241
cds-AF52_RS25355	
cds-WP_002911798.1	
cds-WP_016532101.1	
cds-WP_002911862.1	
cds-WP_004144110.1	
cds-WP_014907250.1	
cds-WP_022631346.1	
cds-WP_004175282.1	
cds-WP_004200363.1	K01251
cds-WP_021440419.1	K02233
cds-WP_032429634.1	
cds-WP_004153104.1	K07258
cds-WP_002912106.1	K02355
cds-WP_004148994.1	
cds-WP_004175276.1	
cds-WP_004899375.1	
cds-WP_009307478.1	K00013
cds-WP_004144133.1	K01089
cds-WP_004175272.1	K01814
cds-WP_032429637.1	K11755
cds-AF52_RS25360	
cds-AF52_RS16540	
cds-AF52_RS0123600	
cds-WP_013815099.1-27	
cds-WP_072269281.1	
cds-WP_004890861.1	K01854
cds-WP_004175264.1	
cds-WP_013815099.1-28	
cds-AF52_RS26960	
cds-WP_032429643.1	
cds-WP_004899416.1	K01840
cds-WP_020802781.1	K00033
cds-WP_020802783.1	K03606
cds-AF52_RS26980	
cds-WP_032429646.1	
cds-WP_020801633.1	
cds-WP_032429746.1	
cds-WP_020801659.1	
cds-WP_013815099.1-30	
cds-WP_072001574.1	K01104
cds-WP_032429649.1	
cds-WP_020806188.1-2	K07481
cds-WP_001741945.1	K00963
cds-WP_032412678.1	K07289
cds-WP_002912442.1	K00876
cds-WP_032429652.1	K04046
cds-WP_032429653.1	K07660
cds-WP_004899454.1	
cds-WP_032429654.1	K07799
cds-WP_032429655.1	K07789
cds-WP_004149058.1	K07642
cds-WP_004144192.1	K08303
cds-WP_032429657.1	K02032
cds-WP_004200464.1	K02034
cds-WP_004180553.1	K02035
cds-WP_032429658.1	K24204
cds-WP_032429659.1	K00854
cds-WP_004144198.1	
cds-WP_004180592.1	K00039
cds-WP_004175116.1	
cds-WP_002912707.1	K00941
cds-WP_009307427.1	
cds-WP_009307426.1	K01486
cds-WP_004149074.1	
cds-WP_072269284.1	
cds-WP_002912753.1	K01874
cds-WP_004144215.1	K02477
cds-WP_002912762.1	
cds-WP_022631307.1	K05847
cds-WP_002912823.1	K05845
cds-WP_002912827.1	K03777
cds-WP_004180615.1	K07262
cds-WP_009307418.1	
cds-WP_022631304.1	K01223
cds-WP_002912842.1	K03488
cds-WP_002912862.1	K05541
cds-WP_002912867.1	
cds-WP_004211527.1	K03748
cds-WP_004175074.1	K10542
cds-WP_002912919.1	K02529
cds-WP_002912924.1	K01495
cds-WP_032429664.1	K16089
cds-WP_002912932.1	
cds-WP_002912937.1	K01151
cds-WP_002912941.1	K00882
cds-WP_032429665.1	K03291
cds-WP_002912951.1	K02356
cds-WP_004200498.1	
cds-WP_072269286.1	K19803
cds-WP_021440487.1	
cds-WP_004200501.1	K13894
cds-WP_004151118.1	K13896
cds-WP_002912975.1	K07552
cds-WP_004144263.1	K19789
cds-WP_004189004.1	
cds-WP_024622810.1	
cds-WP_004144267.1	K06899
cds-WP_002912990.1	K07014
cds-WP_032428356.1	K08276
cds-AF52_RS0123645	
cds-WP_002912996.1	K06213
cds-WP_016530253.1	K03919
cds-WP_032429668.1	K03734
cds-WP_002913006.1	K07676
cds-WP_032429670.1	K07677
cds-WP_002913014.1	K00568
cds-WP_004140835.1	K00526
cds-WP_032429672.1	K01126
cds-WP_004214634.1	K00111
cds-WP_004184966.1	K00113
cds-WP_002913045.1	
cds-WP_002913046.1	
cds-WP_019705497.1	
cds-WP_032429673.1	K12944
cds-WP_021440501.1	K02549
cds-WP_021440502.1	K08680
cds-WP_021440503.1	K02552
cds-WP_004214593.1	K00784
cds-WP_032429674.1	K00342
cds-WP_002913148.1	K00340
cds-WP_002913152.1	K00338
cds-WP_023285394.1	K00336
cds-WP_002913160.1	K00334
cds-WP_002913178.1	K00331
cds-WP_021440508.1	
cds-WP_002913188.1	K08722
cds-WP_019705510.1	K19270
cds-WP_002913194.1	K09899
cds-WP_002913196.1	K13788
cds-WP_004174991.1	K07095
cds-WP_004174988.1	K11209
cds-WP_002913203.1	K07071
cds-WP_032429677.1	
cds-WP_002913207.1	K10015
cds-WP_002913209.1	K10014
cds-WP_004140952.1	
cds-WP_032429678.1	K00764
cds-WP_004151102.1	K03749
cds-WP_002913220.1	K01963
cds-WP_002913226.1	K06173
cds-WP_021440517.1	K03473
cds-WP_004149211.1	
cds-WP_032429751.1	K15461
cds-WP_032429680.1	K09906
cds-WP_004174960.1	K07261
cds-WP_002913346.1	K07320
cds-WP_002913355.1	K08296
cds-WP_002913358.1	K00632
cds-WP_002913360.1	K06076
cds-WP_004149224.1	K21990
cds-WP_032428359.1	
cds-WP_009486224.1	
cds-WP_099119320.1	
cds-WP_004188912.1	
cds-WP_004149230.1	K02478
cds-WP_002913377.1	K00845
cds-WP_032428368.1	K04103
cds-WP_002913419.1	
cds-WP_002913423.1	K11535
cds-WP_002913434.1	
cds-WP_004145598.1	K01885
cds-WP_021440529.1	K14347
cds-WP_004180820.1	K01972
cds-WP_004174922.1	K06203
cds-WP_002913505.1	K02784
cds-WP_000522253.1	K02777
cds-WP_004890524.1	K00868
cds-WP_004890521.1	
cds-WP_002913623.1	K02045
cds-WP_002913626.1	K02046
cds-AF52_RS25445	
cds-WP_002913630.1	
cds-WP_002913637.1	
cds-WP_032429685.1	K00228
cds-WP_032428360.1	K04025
cds-WP_021440537.1	K03736
cds-WP_021440539.1	K04019
cds-WP_032429687.1	K04022
cds-WP_004152003.1	K04021
cds-WP_000387720.1	K04027
cds-WP_004180847.1	K04032
cds-WP_021440543.1	K04029
cds-WP_004185057.1	K00029
cds-WP_004149269.1	K00615
cds-WP_002913754.1	K12945
cds-WP_004185072.1	K18324
cds-WP_002913764.1	
cds-WP_002913768.1	
cds-WP_021440547.1	K06957
cds-WP_002913801.1	K01923
cds-WP_002913803.1	K01714
cds-WP_002913805.1	K03564
cds-WP_004221267.1	
cds-WP_002913810.1	K00537
cds-WP_020947395.1	K10763
cds-WP_002913827.1	K00761
cds-WP_021440552.1	K18673
cds-WP_004145656.1	K11175
cds-WP_002913839.1	K01524
cds-WP_004174861.1	
cds-WP_021440556.1	
cds-WP_009309501.1	
cds-WP_004151980.1	K00088
cds-WP_004144303.1	
cds-WP_020317242.1	
cds-WP_004144309.1	K03977
cds-WP_002913890.1	
cds-WP_002913892.1	K03526
cds-WP_002913894.1	K06941
cds-WP_004890414.1	K05367
cds-WP_002913950.1	K01011
cds-WP_021440563.1	
cds-WP_002913954.1	
cds-WP_032429693.1	K04044
cds-WP_002913979.1	K13628
cds-WP_002913992.1	K04487
cds-WP_004185116.1	K15396
cds-WP_021440564.1	
cds-WP_023301580.1	
cds-WP_004144329.1	K05820
cds-WP_002914018.1	
cds-WP_004214134.1	
cds-WP_002914027.1	K00600
cds-WP_002914032.1	K04751
cds-WP_002914033.1	
cds-WP_004185139.1	K01952
cds-WP_071603195.1	K11991
cds-WP_004144349.1	
cds-WP_004144351.1	K00997
cds-WP_002914062.1	K03584
cds-WP_002914065.1	K03685
cds-WP_002914069.1	K03596
cds-WP_002914070.1	K03598
cds-WP_002914074.1	K03088
cds-WP_004144357.1	K00278
cds-WP_002914082.1	K05590
cds-WP_002914088.1	K03648
cds-WP_002914091.1	K03672
cds-WP_004149373.1	K09181
cds-WP_004888435.1	K05811
cds-AF52_RS14425	
cds-AF52_RS0123765	K02821
cds-AF52_RS14415	
cds-WP_002890386.1	K03386
cds-AF52_RS27040	
cds-WP_032429764.1	
cds-WP_002890395.1	K00773
cds-WP_002890400.1	K03072
cds-WP_002890404.1	K06996
cds-WP_002890412.1	K05517
cds-WP_002890417.1	K07738
cds-WP_001021161.1	K00794
cds-WP_004177267.1	K00946
cds-WP_004191727.1	K23107
cds-WP_004144656.1	K00795
cds-WP_004151340.1	K03151
cds-WP_002891460.1	K03152
cds-WP_002891465.1	K09767
cds-WP_004177261.1	
cds-WP_002891476.1	
cds-WP_002891541.1	
cds-WP_032419345.1	K00014
cds-WP_004178748.1	
cds-WP_002891634.1	K02300
cds-WP_032424651.1	K02298
cds-WP_032429776.1	K08218
