id	contig	beg	end	gene	product
cds-WP_002901080.1	NZ_KK737546.1	83841	84287		DUF441 domain-containing protein
cds-WP_002901088.1	NZ_KK737546.1	84404	84904		YbaK/prolyl-tRNA synthetase associated domain-containing protein
cds-WP_072271772.1	NZ_KK737546.1	85151	86287		glycosyltransferase family 9 protein
cds-WP_002901096.1	NZ_KK737546.1	86458	86700		DinI family protein
cds-WP_002901192.1	NZ_KK737546.1	86971	87390	umuD	translesion error-prone DNA polymerase V autoproteolytic subunit
cds-WP_004152360.1	NZ_KK737546.1	87393	88658		Y-family DNA polymerase
cds-WP_021441571.1	NZ_KK737546.1	88665	89570		LysR family transcriptional regulator
cds-WP_004176542.1	NZ_KK737546.1	89737	90486		SDR family oxidoreductase
cds-WP_021441573.1	NZ_KK737546.1	90483	91700		MFS transporter
cds-WP_004179386.1	NZ_KK737546.1	91876	92757		LysR family transcriptional regulator
cds-WP_004220356.1	NZ_KK737546.1	92828	92947		hypothetical protein
cds-WP_016946410.1	NZ_KK737546.1	93015	93326		hypothetical protein
cds-WP_032428825.1	NZ_KK737546.1	93618	94166		AAA family ATPase
cds-WP_124053788.1	NZ_KK737546.1	94180	94551		hypothetical protein
cds-WP_004140429.1	NZ_KK737546.1	94548	95831		YeaH/YhbH family protein
cds-WP_002901234.1	NZ_KK737546.1	95917	97851	yeaG	protein kinase YeaG
cds-WP_002901236.1	NZ_KK737546.1	98268	99014		MipA/OmpV family protein
cds-WP_072143276.1	NZ_KK737546.1	99145	99960		aldo/keto reductase
cds-WP_002901240.1	NZ_KK737546.1	100017	100901		D-hexose-6-phosphate mutarotase
cds-WP_002901243.1	NZ_KK737546.1	100976	101971	gapA	glyceraldehyde-3-phosphate dehydrogenase
cds-WP_002901246.1	NZ_KK737546.1	102310	102723	msrB	peptide-methionine (R)-S-oxide reductase MsrB
cds-WP_002901249.1	NZ_KK737546.1	102767	103045		YeaC family protein
cds-WP_002901254.1	NZ_KK737546.1	103140	103484		HNH nuclease family protein
cds-WP_002901255.1	NZ_KK737546.1	103645	104898		glycoside hydrolase family 18 protein
cds-WP_004140413.1	NZ_KK737546.1	105070	105711	pncA	bifunctional nicotinamidase/pyrazinamidase
cds-WP_004176535.1	NZ_KK737546.1	105721	106740	ansA	asparaginase
cds-WP_004140411.1	NZ_KK737546.1	106879	108732	sppA	signal peptide peptidase SppA
cds-WP_004176531.1	NZ_KK737546.1	108898	109449		NAD(P)H nitroreductase
cds-WP_002901387.1	NZ_KK737546.1	110185	110931		phosphatase PAP2 family protein
cds-WP_004176528.1	NZ_KK737546.1	111157	112200	selD	selenide%2C water dikinase SelD
cds-WP_032428827.1	NZ_KK737546.1	112205	114151		DNA topoisomerase III
cds-WP_004140406.1	NZ_KK737546.1	114331	115311		NAD(P)H-quinone oxidoreductase
cds-WP_004176526.1	NZ_KK737546.1	115355	116698	gdhA	NADP-specific glutamate dehydrogenase
cds-WP_004183673.1	NZ_KK737546.1	116881	117291		pyrimidine (deoxy)nucleoside triphosphate diphosphatase
cds-WP_002901398.1	NZ_KK737546.1	117378	118001		CDP-alcohol phosphatidyltransferase family protein
cds-WP_032429402.1	NZ_KK737546.1	118053	119360		sulfurtransferase
cds-WP_032428829.1	NZ_KK737546.1	119454	120086		ATP-binding cassette domain-containing protein
cds-WP_004892845.1	NZ_KK737546.1	120086	121621		ABC transporter permease subunit
cds-WP_004224226.1	NZ_KK737546.1	121594	122772		ABC transporter substrate-binding protein
cds-WP_004176519.1	NZ_KK737546.1	122775	123335		carboxymuconolactone decarboxylase family protein
cds-WP_004151923.1	NZ_KK737546.1	123332	124042		TVP38/TMEM64 family protein
cds-WP_021441584.1	NZ_KK737546.1	124029	124685		TVP38/TMEM64 family protein
cds-WP_002901486.1	NZ_KK737546.1	124899	125705	xthA	exodeoxyribonuclease III
cds-WP_002901489.1	NZ_KK737546.1	126144	127364		aspartate aminotransferase family protein
cds-WP_032429405.1	NZ_KK737546.1	127361	128395	astA	arginine N-succinyltransferase
cds-WP_004151922.1	NZ_KK737546.1	128392	129870	astD	succinylglutamate-semialdehyde dehydrogenase
cds-WP_004892826.1	NZ_KK737546.1	129867	131192	astB	N-succinylarginine dihydrolase
cds-WP_021441588.1	NZ_KK737546.1	131202	132167	astE	succinylglutamate desuccinylase
cds-WP_004217130.1	NZ_KK737546.1	132511	132996	spy	ATP-independent periplasmic protein-refolding chaperone
cds-WP_004176514.1	NZ_KK737546.1	133084	133947	cho	excinuclease Cho
cds-WP_032429406.1	NZ_KK737546.1	134048	134875	nadE	ammonia-dependent NAD(+) synthetase
cds-WP_002901544.1	NZ_KK737546.1	135158	135496	osmE	osmotically-inducible lipoprotein OsmE
cds-WP_013815099.1-4	NZ_KK737546.1	135868	136836		IS5-like element IS903B family transposase
cds-WP_050484274.1	NZ_KK737546.1	136880	137161		PTS sugar transporter subunit IIB
cds-WP_014907779.1	NZ_KK737546.1	137181	137297		hypothetical protein
cds-WP_004148091.1	NZ_KK737546.1	137309	138667	chbC	PTS N%2CN'-diacetylchitobiose transporter subunit IIC
cds-WP_004183683.1	NZ_KK737546.1	138721	139068	chbA	PTS N%2CN'-diacetylchitobiose transporter subunit IIA
cds-WP_002901552.1	NZ_KK737546.1	139096	139920	chbR	transcriptional regulator ChbR
cds-WP_032429409.1	NZ_KK737546.1	140031	141377		6-phospho-beta-glucosidase
cds-WP_004179430.1	NZ_KK737546.1	141390	142148	chbG	chitin disaccharide deacetylase
cds-WP_002901554.1	NZ_KK737546.1	142206	144464	katE	catalase HPII
cds-WP_004140343.1	NZ_KK737546.1	144577	144909	cedA	cell division activator CedA
cds-WP_032429412.1	NZ_KK737546.1	144969	146360		L-cystine transporter
cds-WP_002901611.1	NZ_KK737546.1	146496	147086		metal-dependent hydrolase
cds-WP_004176511.1	NZ_KK737546.1	147178	147939	kduD	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD
cds-WP_004140335.1	NZ_KK737546.1	148089	148757	hxpB	hexitol phosphatase HxpB
cds-WP_002901627.1	NZ_KK737546.1	148946	149482		YniB family protein
cds-WP_002901629.1	NZ_KK737546.1	149512	149910	yciA	acyl-CoA thioester hydrolase YciA
cds-AF52_RS0123015	NZ_KK737546.1	150010	152194		TonB-dependent siderophore receptor
cds-WP_002901631.1	NZ_KK737546.1	152466	153005		septation protein A
cds-WP_002901632.1	NZ_KK737546.1	153060	153803		UPF0259 family protein
cds-WP_032429413.1	NZ_KK737546.1	153829	154242		YkgJ family cysteine cluster protein
cds-WP_002901634.1	NZ_KK737546.1	154512	155150	ompW	outer membrane protein OmpW
cds-WP_032429414.1	NZ_KK737546.1	155235	155912	ybiX	PKHD-type hydroxylase YbiX
cds-WP_032429415.1	NZ_KK737546.1	155961	158246		catecholate siderophore receptor Fiu
cds-WP_021441592.1	NZ_KK737546.1	158556	159263		SDR family NAD(P)-dependent oxidoreductase
cds-WP_004151911.1	NZ_KK737546.1	159382	159582		hypothetical protein
cds-WP_032429416.1	NZ_KK737546.1	159691	160638		zinc-binding alcohol dehydrogenase family protein
cds-WP_021441594.1	NZ_KK737546.1	160713	161171		winged helix-turn-helix transcriptional regulator
cds-WP_004183698.1	NZ_KK737546.1	161214	162122		LysR family transcriptional regulator
cds-WP_004210755.1	NZ_KK737546.1	162251	163561		MFS transporter
cds-WP_002901724.1	NZ_KK737546.1	163576	164664		tartrate dehydrogenase
cds-WP_004179454.1	NZ_KK737546.1	164667	165926		glycerate kinase
cds-WP_021441596.1	NZ_KK737546.1	166145	166954	trpA	tryptophan synthase subunit alpha
cds-WP_032423750.1	NZ_KK737546.1	166954	168147	trpB	tryptophan synthase subunit beta
cds-WP_032429417.1	NZ_KK737546.1	168157	169515	trpCF	bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF
cds-WP_021441599.1	NZ_KK737546.1	169519	171114	trpD	bifunctional anthranilate synthase glutamate amidotransferase component TrpG/anthranilate phosphoribosyltransferase TrpD
cds-WP_004176488.1	NZ_KK737546.1	171114	172676		anthranilate synthase component 1
cds-WP_002901735.1	NZ_KK737546.1	172965	173828	yciV	5'-3' exoribonuclease
cds-WP_002901738.1	NZ_KK737546.1	173845	174465		threonylcarbamoyl-AMP synthase
cds-WP_021441600.1	NZ_KK737546.1	174487	175395		EamA family transporter
cds-WP_004176482.1	NZ_KK737546.1	175507	176403	gcvA	transcriptional regulator GcvA
cds-WP_002901746.1	NZ_KK737546.1	176685	177587	rluB	23S rRNA pseudouridine(2605) synthase RluB
cds-WP_002901749.1	NZ_KK737546.1	177648	178238	cobO	cob(I)yrinic acid a%2Cc-diamide adenosyltransferase
cds-WP_032429418.1	NZ_KK737546.1	178235	178996		YciK family oxidoreductase
cds-WP_004148112.1	NZ_KK737546.1	178991	179206		hypothetical protein
cds-WP_002901758.1	NZ_KK737546.1	179251	180297	sohB	protease SohB
cds-WP_002901761.1	NZ_KK737546.1	180345	180596		YciN family protein
cds-WP_002901763.1	NZ_KK737546.1	181003	183600	topA	type I DNA topoisomerase
cds-WP_002901772.1	NZ_KK737546.1	183946	184920	cysB	HTH-type transcriptional regulator CysB
cds-WP_002901776.1	NZ_KK737546.1	185166	185333		YmiA family putative membrane protein
cds-WP_032429420.1	NZ_KK737546.1	185722	188400	acnA	aconitate hydratase AcnA
cds-WP_032429421.1	NZ_KK737546.1	188448	189050	ribA	GTP cyclohydrolase II
cds-WP_002901779.1	NZ_KK737546.1	189214	189981	pgpB	phosphatidylglycerophosphatase B
cds-WP_002901780.1	NZ_KK737546.1	190117	190425		LapA family protein
cds-WP_002901781.1	NZ_KK737546.1	190432	191601	lapB	lipopolysaccharide assembly protein LapB
cds-WP_014907762.1	NZ_KK737546.1	191793	192530	pyrF	orotidine-5'-phosphate decarboxylase
cds-WP_004210732.1	NZ_KK737546.1	192530	192856	yciH	stress response translation initiation inhibitor YciH
cds-WP_002901783.1	NZ_KK737546.1	192988	193206	osmB	osmotically-inducible lipoprotein OsmB
cds-WP_002901785.1	NZ_KK737546.1	193482	194231		DeoR/GlpR transcriptional regulator
cds-WP_002901786.1	NZ_KK737546.1	194303	194482		hypothetical protein
cds-WP_002901787.1	NZ_KK737546.1	194641	196575		exoribonuclease II
cds-WP_032421254.1	NZ_KK737546.1	196657	197814		carboxymuconolactone decarboxylase family protein
cds-WP_004140277.1	NZ_KK737546.1	198005	198793	fabI	enoyl-ACP reductase FabI
cds-WP_014907760.1	NZ_KK737546.1	198992	199534		HutD family protein
cds-WP_004151902.1	NZ_KK737546.1	199782	201161		cytosine permease
cds-WP_004140269.1	NZ_KK737546.1	201206	202015	sapF	peptide ABC transporter ATP-binding protein SapF
cds-WP_004140266.1	NZ_KK737546.1	202017	203009	sapD	peptide ABC transporter ATP-binding protein SapD
cds-WP_004151901.1	NZ_KK737546.1	203009	203899	sapC	peptide ABC transporter permease SapC
cds-WP_032429422.1	NZ_KK737546.1	204046	205263		site-specific integrase
cds-WP_004892750.1	NZ_KK737546.1	205484	205723		DUF4060 family protein
cds-WP_016831904.1	NZ_KK737546.1	205731	206039		hypothetical protein
cds-WP_108918811.1	NZ_KK737546.1	206036	206677		hypothetical protein
cds-WP_016831906.1	NZ_KK737546.1	206689	206910		hypothetical protein
cds-WP_032426563.1	NZ_KK737546.1	206907	207434		phage N-6-adenine-methyltransferase
cds-WP_008807811.1	NZ_KK737546.1	207463	208086		YqaJ viral recombinase family protein
cds-WP_032429423.1	NZ_KK737546.1	208083	208829	bet	phage recombination protein Bet
cds-WP_008807813.1	NZ_KK737546.1	208846	209130	gamL	host nuclease inhibitor GamL
cds-WP_008807814.1	NZ_KK737546.1	209211	209417		phage encoded cell division inhibitor protein
cds-WP_161477215.1	NZ_KK737546.1	209410	209568		hypothetical protein
cds-WP_004223168.1	NZ_KK737546.1	209854	210057		hypothetical protein
cds-WP_008807815.1	NZ_KK737546.1	210087	210734		hypothetical protein
cds-WP_008807816.1	NZ_KK737546.1	210731	211165		hypothetical protein
cds-WP_024622727.1	NZ_KK737546.1	211385	212074		helix-turn-helix transcriptional regulator
cds-WP_004178811.1	NZ_KK737546.1	212179	212412		helix-turn-helix domain-containing protein
cds-WP_004141720.1	NZ_KK737546.1	212452	212772		hypothetical protein
cds-WP_004151298.1	NZ_KK737546.1	212859	213005		hypothetical protein
cds-WP_073545955.1	NZ_KK737546.1	213046	213897		DNA replication protein
cds-WP_075209545.1	NZ_KK737546.1	213902	215317		AAA family ATPase
cds-WP_032429424.1	NZ_KK737546.1	215317	215619		MarR family transcriptional regulator
cds-AF52_RS21920	NZ_KK737546.1	215616	215912		hypothetical protein
cds-WP_032429425.1	NZ_KK737546.1	216035	216298		DUF4752 family protein
cds-AF52_RS25000	NZ_KK737546.1	216450	216854		ead/Ea22-like family protein
cds-WP_023286281.1	NZ_KK737546.1	217078	217299		hypothetical protein
cds-WP_032429427.1	NZ_KK737546.1	217303	218010		DUF551 domain-containing protein
cds-WP_016831923.1	NZ_KK737546.1	218000	218224		hypothetical protein
cds-WP_032429428.1	NZ_KK737546.1	218299	218811		hypothetical protein
cds-WP_032429704.1	NZ_KK737546.1	218879	219136		DNA polymerase III subunit theta
cds-WP_032429429.1	NZ_KK737546.1	219243	219839		DUF1367 family protein
cds-WP_004146340.1	NZ_KK737546.1	220048	220338		DUF1364 domain-containing protein
cds-WP_004177081.1	NZ_KK737546.1	220335	220697		RusA family crossover junction endodeoxyribonuclease
cds-WP_023279926.1	NZ_KK737546.1	220694	220834		YlcG family protein
cds-WP_032429430.1	NZ_KK737546.1	220831	221520		antiterminator
cds-WP_024940884.1	NZ_KK737546.1	222173	222472		phage holin family protein
cds-WP_008807831.1	NZ_KK737546.1	222469	223008		glycoside hydrolase family 108 protein
cds-WP_004190674.1	NZ_KK737546.1	223005	223349		hypothetical protein
cds-WP_032429431.1	NZ_KK737546.1	223346	223621		hypothetical protein
cds-WP_004218558.1	NZ_KK737546.1	224580	224825		DUF2560 family protein
cds-WP_013815099.1-5	NZ_KK737546.1	225397	226365		IS5-like element IS903B family transposase
cds-WP_032429432.1	NZ_KK737546.1	226754	227758		terminase small subunit
cds-WP_004190663.1	NZ_KK737546.1	227736	229043		terminase
cds-AF52_RS21820	NZ_KK737546.1	229043	229582		hypothetical protein
cds-WP_170965341.1	NZ_KK737546.1	229616	229810		transposase
cds-AF52_RS26695	NZ_KK737546.1	231136	231250		IS5/IS1182 family transposase
cds-WP_187079184.1	NZ_KK737546.1	231498	232175		DUF4055 domain-containing protein
cds-WP_032429434.1	NZ_KK737546.1	232159	233271		phage Mu F like family protein
cds-WP_032429435.1	NZ_KK737546.1	233356	234141		hypothetical protein
cds-WP_032429436.1	NZ_KK737546.1	234152	235105		Ig domain-containing protein
cds-WP_142689607.1	NZ_KK737546.1	235114	235386		Ig-like domain-containing protein
cds-WP_004217348.1	NZ_KK737546.1	235427	235822		hypothetical protein
cds-WP_004190649.1	NZ_KK737546.1	235824	236078		hypothetical protein
cds-WP_004217344.1	NZ_KK737546.1	236307	236690		hypothetical protein
cds-WP_008807839.1	NZ_KK737546.1	236692	237243		hypothetical protein
cds-WP_004190640.1	NZ_KK737546.1	237240	237632		electron transfer flavoprotein subunit beta
cds-WP_004217341.1	NZ_KK737546.1	237656	238828		Ig domain-containing protein
cds-WP_004226994.1	NZ_KK737546.1	238882	239364		hypothetical protein
cds-WP_074185736.1	NZ_KK737546.1	239502	239696		hypothetical protein
cds-WP_032429437.1	NZ_KK737546.1	240136	240315		hypothetical protein
cds-WP_032417044.1	NZ_KK737546.1	240325	240810		type II toxin-antitoxin system death-on-curing family toxin
cds-AF52_RS21755	NZ_KK737546.1	240849	241094		hypothetical protein
cds-WP_013815099.1-6	NZ_KK737546.1	241160	242128		IS5-like element IS903B family transposase
cds-WP_032429438.1	NZ_KK737546.1	242146	242397		hypothetical protein
cds-WP_077254381.1	NZ_KK737546.1	242561	242902		zinc ribbon domain-containing protein
cds-AF52_RS21745	NZ_KK737546.1	243004	244416		phage tail length tape measure family protein
cds-WP_013815099.1-7	NZ_KK737546.1	244471	245439		IS5-like element IS903B family transposase
cds-AF52_RS21735	NZ_KK737546.1	245474	246952		phage tail protein
cds-WP_032429439.1	NZ_KK737546.1	246952	247425		hypothetical protein
cds-WP_032429440.1	NZ_KK737546.1	247412	247894		DUF1833 family protein
cds-WP_032429442.1	NZ_KK737546.1	247904	248284		hypothetical protein
cds-AF52_RS21715	NZ_KK737546.1	248281	251259		kinase
cds-WP_013815099.1-8	NZ_KK737546.1	251293	252261		IS5-like element IS903B family transposase
cds-AF52_RS0123075	NZ_KK737546.1	252965	253330		hypothetical protein
cds-WP_032429443.1	NZ_KK737546.1	253422	253970		recombinase family protein
cds-WP_004179627.1	NZ_KK737546.1	255020	255439	umuD	translesion error-prone DNA polymerase V autoproteolytic subunit
cds-AF52_RS0123080	NZ_KK737546.1	255441	256706		Y-family DNA polymerase
cds-WP_032429444.1	NZ_KK737546.1	256748	257389		hypothetical protein
cds-WP_016831214.1	NZ_KK737546.1	257382	258056		SOS response-associated peptidase
cds-WP_002901816.1	NZ_KK737546.1	258261	259226	sapB	peptide ABC transporter permease SapB
cds-WP_004140258.1	NZ_KK737546.1	259223	260866	sapA	peptide ABC transporter substrate-binding protein SapA
cds-WP_021441607.1	NZ_KK737546.1	261200	262108		SDR family oxidoreductase
cds-WP_019705465.1	NZ_KK737546.1	262216	263046		helix-turn-helix domain-containing protein
cds-WP_032429447.1	NZ_KK737546.1	263025	265334		helix-turn-helix domain-containing protein
cds-WP_002901900.1	NZ_KK737546.1	265506	266675		amidohydrolase
cds-WP_021441611.1	NZ_KK737546.1	266701	268092		MFS transporter
cds-WP_004148137.1	NZ_KK737546.1	268083	269072	pspF	phage shock protein operon transcriptional activator
cds-WP_002901908.1	NZ_KK737546.1	269225	269893	pspA	phage shock protein PspA
cds-WP_002901911.1	NZ_KK737546.1	269949	270173	pspB	envelope stress response membrane protein PspB
cds-WP_002901913.1	NZ_KK737546.1	270173	270532	pspC	envelope stress response membrane protein PspC
cds-WP_002901915.1	NZ_KK737546.1	270561	270779	pspD	phage shock protein PspD
cds-WP_002901917.1	NZ_KK737546.1	270882	272279		YcjX family protein
cds-WP_004140239.1	NZ_KK737546.1	272276	273337		TIGR01620 family protein
cds-WP_004888583.1	NZ_KK737546.1	273427	274326		LysR family transcriptional regulator
cds-WP_002901977.1	NZ_KK737546.1	274440	275753		6-phospho-beta-glucosidase
cds-WP_002901979.1	NZ_KK737546.1	275926	277467	tyrR	transcriptional regulator TyrR
cds-WP_032428836.1	NZ_KK737546.1	277569	278621		AbrB family transcriptional regulator
cds-WP_004152131.1	NZ_KK737546.1	278692	279198	tpx	thiol peroxidase
cds-WP_032429452.1	NZ_KK737546.1	279301	280266	ycjG	L-Ala-D/L-Glu epimerase
cds-WP_004152134.1	NZ_KK737546.1	280263	280970	mpaA	murein tripeptide amidase MpaA
cds-WP_004148146.1	NZ_KK737546.1	281043	281159		hypothetical protein
cds-WP_004176446.1	NZ_KK737546.1	281156	282772		peptide ABC transporter substrate-binding protein
cds-WP_021441615.1	NZ_KK737546.1	282873	283259		glyoxalase I%2C nickel isomerase
cds-WP_004190572.1	NZ_KK737546.1	283490	284323		hypothetical protein
cds-WP_004152138.1	NZ_KK737546.1	284448	285332		LysR family transcriptional regulator
cds-WP_004190569.1	NZ_KK737546.1	285505	286641		alpha/beta hydrolase
cds-WP_023287551.1	NZ_KK737546.1	286714	287916		MFS transporter
cds-WP_004152141.1	NZ_KK737546.1	287995	288864		aldo/keto reductase
cds-AF52_RS21545	NZ_KK737546.1	289095	289340		ATP-binding protein
cds-WP_072001575.1	NZ_KK737546.1	289412	289558		cold-shock protein
cds-WP_013815099.1-9	NZ_KK737546.1	289602	290570		IS5-like element IS903B family transposase
cds-WP_187079185.1	NZ_KK737546.1	290586	291959	dbpA	ATP-dependent RNA helicase DbpA
cds-WP_002902422.1	NZ_KK737546.1	292005	292940	ttcA	tRNA 2-thiocytidine(32) synthetase TtcA
cds-WP_004140161.1	NZ_KK737546.1	293174	293608	uspF	universal stress protein UspF
cds-WP_002902432.1	NZ_KK737546.1	293690	293902		KTSC domain-containing protein
cds-WP_004176397.1	NZ_KK737546.1	294046	295170	ompK37	porin OmpK37
cds-WP_021313170.1	NZ_KK737546.1	295527	299054	nifJ	pyruvate:ferredoxin (flavodoxin) oxidoreductase
cds-WP_004140155.1	NZ_KK737546.1	299417	299680		DUF333 domain-containing protein
cds-WP_032429459.1	NZ_KK737546.1	299726	300166	hslJ	heat shock protein HslJ
cds-WP_002902515.1	NZ_KK737546.1	300289	301278		2-hydroxyacid dehydrogenase
